,sents,labels
0,百五十八; 五百九十一,1
339,二百八十一; 四百六十二,1
340,九百六十四; 六百四,0
341,四十八; 四十九,1
342,三百六十一; 六百四十三,1
343,二百八十九; 五百九十七,1
344,九百二十五; 百三十九,0
345,二百九十一; 七百七十七,1
346,五百五十九; 六百十九,1
347,四百二十五; 九十三,0
348,七百七十八; 八百四十四,1
349,五百三十四; 百八十一,0
350,百八十五; 五百八十九,1
351,六百四十二; 九百三十六,1
352,五百九十七; 九百六十六,1
353,六百十二; 十二,0
354,九百七十九; 二百一,0
355,七百五十四; 七百三十九,0
356,三百一; 七百六十二,1
357,六百七十三; 六百三十四,0
358,九百一; 四百九,0
359,三百九十三; 五百八十六,1
360,四百六十一; 百四十一,0
361,八十二; 三百四,1
362,五百十一; 二百二十六,0
363,二百八十一; 三十七,0
364,六百三十四; 四十七,0
365,七百九十七; 六,0
366,九百七十一; 八百六,0
367,九百四十八; 二十一,0
368,百九; 三百七十,1
369,五百六十二; 九十四,0
370,八百七; 八百十七,1
371,七十八; 八百十五,1
372,八十九; 六百三,1
373,六百三十六; 八百七十六,1
374,九百六十一; 八百八十六,0
375,三百七十七; 五十五,0
376,二百七十七; 三百四十四,1
377,八百十七; 百九十二,0
378,四百三十九; 二百二十二,0
379,九百八十五; 二百五十七,0
380,二百九十一; 四百九十五,1
381,五百六十二; 三百七十二,0
382,九百六十九; 二百三十二,0
383,五百九十八; 七百六十九,1
384,百十八; 七百七十七,1
385,七百十四; 九百三十二,1
386,八百五十八; 五百九十二,0
387,二百十五; 百四十七,0
388,六百七十六; 六十四,0
389,七百五十二; 八百九十六,1
390,八百五十五; 五百二十二,0
391,七百六十; 二十一,0
392,三百二十六; 六百六十六,1
393,百五十一; 四百四十五,1
394,七十四; 七百二十一,1
395,三百二十一; 二十,0
396,三十一; 十九,0
397,四百五十五; 八百六十三,1
398,五百十六; 二百三十,0
399,六百四十七; 百八十三,0
400,九十四; 五百六十,1
401,五百五十; 六百四十,1
402,五百九十四; 三百五十四,0
403,九百二十一; 七百二十四,0
404,七百七十七; 六百四十五,0
405,八百十八; 六百十六,0
406,六百九十八; 四百四十一,0
407,七百六十五; 五百八十七,0
408,三百二十七; 三百七十五,1
409,六百三十八; 百九十四,0
410,六百四十六; 六百五,0
411,四百四十九; 四百七十五,1
412,七百九十六; 百九十一,0
413,六十五; 三百五十六,1
414,四百六十四; 七百九十一,1
415,百十五; 九百八十五,1
416,九百三十六; 四百五,0
417,七十六; 九百十六,1
418,七百二十; 四百十六,0
419,二百八十; 三百十八,1
420,九百二; 二百八十六,0
421,五百; 二百二十九,0
422,三百九十七; 四百二十二,1
423,九百四十七; 五百九十一,0
424,九百二十; 百二十八,0
425,九百六; 八百九十五,0
426,百八十六; 四十九,0
427,八百六; 五百八十一,0
428,九百八十五; 三百三十八,0
429,二百三十四; 六百七十七,1
430,七百九十; 六百六十三,0
431,百十二; 七百二,1
432,五百二十三; 四百二十二,0
433,五百十五; 三百七十九,0
434,二百四十一; 七百二十五,1
435,六百六十; 百四十四,0
436,三百八十一; 四十一,0
437,七百四十; 八百五十一,1
438,七百五十三; 二百十,0
439,四百三十九; 二百八十九,0
440,二百九十四; 二十四,0
441,百九十三; 四百四十三,1
442,八百四十; 二百七十七,0
443,八百九十九; 七十四,0
444,九百三十四; 六十一,0
445,三百九十六; 四百三十一,1
446,三百七十七; 八百四十五,1
447,七百八十三; 二十九,0
448,三百四十八; 五百四十五,1
449,二百二十三; 六百八十二,1
450,二十三; 六百四十五,1
451,五百三十八; 四百九十五,0
452,四百六十三; 四百三十一,0
453,五百; 二百六十,0
454,四百七十七; 四百,0
455,百七十五; 九百十七,1
456,二百四十四; 百三十四,0
457,四百; 二百四十一,0
458,五百七; 五百五十一,1
459,八百四十五; 九百六十一,1
460,七百二十六; 五百五十三,0
461,九百二十九; 八百七十八,0
462,三百七十五; 九百十六,1
463,七百一; 八百九十三,1
464,四百七十三; 四百七十六,1
465,八; 百二十九,1
466,六百六十四; 十三,0
467,二百九十九; 八百二,1
468,六百七十二; 五十三,0
469,七百六; 二百七十五,0
470,二百五十六; 四百九十二,1
471,五百二; 百十,0
472,四百六; 八百八,1
473,三百四; 四百八,1
474,五百六十五; 二百四十九,0
475,七百六十三; 三百十一,0
476,二百三十三; 三百三十,1
477,八十四; 二百五十九,1
478,五百九十; 百五十五,0
479,三百四十八; 五十六,0
480,三百四十一; 七百三十八,1
481,四百八十; 五百十七,1
482,百二十二; 二百二十五,1
483,七百九十九; 二百一,0
484,四百十; 九百六十九,1
485,五百九; 二百三,0
486,三百十六; 二百二十七,0
487,九百六十三; 六百九十三,0
488,百二十八; 五百七十九,1
489,三百八十八; 三百三十六,0
490,四百十九; 九百三十三,1
491,二百五十八; 三百六十二,1
492,百六十七; 七十九,0
493,九百四十; 三百六十八,0
494,五百五十; 四百七十三,0
495,百六十七; 八百九十一,1
496,七百三十九; 六百八十一,0
497,四百七十六; 九百四十三,1
498,百二十九; 七十四,0
499,二百二; 八百八,1
500,八百九十五; 十五,0
501,三百四十六; 三百二十二,0
502,二十九; 三百四十,1
503,六百三十八; 七百八十七,1
504,五百二十五; 百二十六,0
505,百十五; 四百九十八,1
506,五十二; 十五,0
507,八百三; 百六十八,0
508,九百十三; 二百四十五,0
509,百二十四; 四百六,1
510,三百二十七; 二百二,0
511,六百三十六; 六百五十七,1
512,百八十三; 七百十六,1
513,三百二十; 百五十九,0
514,五百七十七; 八百三十,1
515,九百五十六; 五百七十,0
516,八百四十; 五百,0
517,七百六十七; 五百五十三,0
518,三百二十三; 六百三十,1
519,三百七十; 三百五十六,0
520,八百八; 五百九十五,0
521,九百九十三; 二百八十一,0
522,六百三十四; 九百四十,1
523,四百十; 百五十六,0
524,三百九十六; 六百九,1
525,八百九十六; 七百五十八,0
526,九百三十一; 百二十二,0
527,七百四十九; 百九十四,0
528,九百九十八; 七十八,0
529,三百三十六; 三百十六,0
530,九百十四; 九百六十三,1
531,百九十一; 六百七十,1
532,二百九十; 五百六十七,1
533,三百十七; 七百五十,1
534,二百六十二; 九百八十九,1
535,五百三十四; 六百七十二,1
536,八百八十九; 八百四十九,0
537,五百三十四; 五百五十八,1
538,五百二十五; 二百七十七,0
539,八百六; 十,0
540,六十四; 九百六十一,1
541,五百二十三; 百六十,0
542,五百六十五; 二百九十,0
543,二百七十九; 百十三,0
544,五百二十; 八百七十六,1
545,四百三十二; 二十二,0
546,八百八十四; 百五十七,0
547,四百二; 七百三十九,1
548,六百二; 九百九十,1
549,三百六十; 九百四十八,1
550,二百三十二; 三百八十二,1
551,三百七十四; 七百二十五,1
552,九百八十; 六百四十三,0
553,三百八十一; 百七十一,0
554,九百四十八; 七百十八,0
555,二百六; 九百三十五,1
556,七; 八百四十三,1
557,六百四十四; 八百五十一,1
558,五百二十二; 五百二十五,1
559,九百三十; 四百三十一,0
560,百三十一; 八百五十四,1
561,四百三十二; 四百四,0
562,八百五十五; 四百十一,0
563,六百九十六; 三百六十六,0
564,五百八十六; 七百七十三,1
565,百九十八; 二百九十九,1
566,三百九十九; 五百九十一,1
567,七十; 八百十五,1
568,八十; 二百十五,1
569,三百六十八; 四百三十,1
570,千; 八百三十三,0
571,六百九十一; 四百三十八,0
572,七百二十二; 九百九十七,1
573,九百四十; 五百七十一,0
574,四百四十五; 四百七十八,1
575,二百十四; 五百十五,1
576,四百九十六; 五十七,0
577,十三; 七百十四,1
578,八百五十; 八百四十一,0
579,八百四十七; 七百二十一,0
580,三百五十七; 四百八十九,1
581,六百二十三; 八百二十七,1
582,九百五十五; 七百四十,0
583,百四十七; 六百七十,1
584,六百六十二; 四百二十一,0
585,百九十四; 百七十九,0
586,七百二十五; 七百七十二,1
587,九百七十四; 八百三十二,0
588,百九十; 八百九十四,1
589,五百六十四; 六百八,1
590,四百四十六; 百三十八,0
591,六百十八; 七百九十八,1
592,百九十五; 二百五十一,1
593,三百二十一; 百八十三,0
594,二百九十三; 百八十二,0
595,五十九; 五百五十四,1
596,二百九十六; 七十四,0
597,百七十二; 百二十,0
598,十三; 九百五十九,1
599,三百六十五; 六百四十八,1
600,三百七十七; 四百六十五,1
601,百十; 十八,0
602,三百四十五; 二百七十五,0
603,七百四十八; 七百三十八,0
604,六百四十一; 四百三十,0
605,七百三十四; 三百三十八,0
606,五百八; 三十五,0
607,六百三十九; 七百四十八,1
608,百十六; 五百二十五,1
609,百四十三; 二百五十,1
610,六百三十二; 百九十九,0
611,九百四十四; 六十四,0
612,二百三十一; 九百八十九,1
613,三百二十二; 六百二十三,1
614,四十八; 五百八十七,1
615,八十四; 六百六十二,1
616,九百九十五; 三百九十一,0
617,五十二; 百九十五,1
618,九百二十九; 七百八十五,0
619,二百三; 四百五十六,1
620,二百五十; 九百九,1
621,百二十一; 八百六十二,1
622,五百十; 四百二十三,0
623,二百三十三; 百三十,0
624,七百六十二; 六百六十五,0
625,五百十一; 二百三十,0
626,五百六十二; 七百七十五,1
627,百五十七; 八百五十七,1
628,九百九十三; 百二十五,0
629,三百六十三; 七百八十四,1
630,八百九十四; 三百,0
631,四十七; 五百八十,1
632,七百七十九; 三百二十一,0
633,百四十九; 九百四十二,1
634,六百十六; 百二十四,0
635,八百二十四; 十三,0
636,八百十六; 三百八十六,0
637,七百七十二; 六百九十,0
638,二百八十四; 六百九十七,1
639,五百七十一; 三百十二,0
640,九; 三百七十二,1
641,九百八十; 二百三十,0
642,百六十二; 九百七十五,1
643,五百八十七; 六百二,1
644,八百七十三; 五百十三,0
645,百九十; 八百二十六,1
646,六百五; 七百四十,1
647,二百四十五; 二百八十三,1
648,三百七十二; 六百六十五,1
649,八百十八; 八百二十七,1
650,九百九; 三百二十六,0
651,百八十三; 五十二,0
652,五百二十九; 七百三十四,1
653,七百九十三; 四百九十四,0
654,二百九十九; 百二十七,0
655,七百十六; 五百二十九,0
656,五百十五; 三百二十二,0
657,百八十一; 九百八十,1
658,九百十一; 四百九十八,0
659,七百七; 七百,0
660,七十五; 八十一,1
661,百九; 八百九十三,1
662,九百二十三; 八百三十六,0
663,七百六; 六百六十七,0
664,五百六十五; 九十四,0
665,三百十六; 四十四,0
666,八百六十三; 八百六十六,1
667,九百三十; 六百五十四,0
668,二百八十三; 六百六十七,1
669,七百四; 八十,0
670,二百五十二; 四百四十一,1
671,五百六十六; 七百五,1
672,三百四十四; 七百三十九,1
673,五百二十七; 四百七十一,0
674,八百四十四; 四百十五,0
675,五百六十; 五百二十一,0
676,八十五; 七百二十,1
677,二百二十七; 二百四十四,1
678,三百九十八; 四百三十五,1
679,二百四十二; 九百七十一,1
680,百九; 九百六十六,1
681,四百四十九; 二百六,0
682,二百; 五百九十六,1
683,四百十一; 七百二十九,1
684,四十五; 二百九十,1
685,六百八十四; 七百九十八,1
686,三百十九; 三十七,0
687,九百五; 百六十二,0
688,三百四十六; 百六十七,0
689,九百五十四; 五百六十,0
690,四十七; 百二十,1
691,八百八十五; 百九十二,0
692,三百五十八; 六百二十七,1
693,四百二十二; 五百三十四,1
694,百九十九; 五百六十一,1
695,九百九十八; 百六十四,0
696,三百四十六; 五百七十五,1
697,六百六十五; 七百八十八,1
698,三百四十三; 百九十四,0
699,七百八; 四百五十九,0
700,九十; 六百二十六,1
701,二十六; 二百五十四,1
702,三百二十九; 三百十一,0
703,四百四十一; 五百二十一,1
704,二十; 三百二十四,1
705,二十二; 百三十五,1
706,三十一; 四百六十二,1
707,二百二十七; 百五十二,0
708,二百七十二; 九百十,1
709,八百八十二; 三百七十一,0
710,六百三十八; 三百六十九,0
711,七百二十二; 四百一,0
712,二百七十四; 三百三十二,1
713,七百二十; 四百十,0
714,七百五; 二十六,0
715,五十五; 九百七十,1
716,三百八十九; 二十,0
717,二百四十四; 四百,1
718,九百六十; 四十九,0
719,八十七; 六百七十一,1
720,二百八十六; 二百三十三,0
721,六百二十七; 七百二十三,1
722,三百九十七; 四百,1
723,五百三十五; 八百三十三,1
724,四百四十九; 百三十六,0
725,六; 六百六十八,1
726,五百五十三; 五百八十八,1
727,四百八十五; 百三十八,0
728,八十三; 二百七,1
729,三百九十六; 五百九十七,1
730,三百九十九; 百二十七,0
731,五百八; 五百九十一,1
732,七百六十七; 四百十五,0
733,七百二十三; 九百十三,1
734,四百八十三; 百八十二,0
735,八十九; 三百七十三,1
736,二百五十九; 三百四十六,1
737,八百四十二; 四百一,0
738,二百二十一; 四百五十四,1
739,六百三十七; 二百四十七,0
740,三百二十五; 二百六十三,0
741,百四十八; 八百七十二,1
742,百三十; 百三十四,1
743,九百九十七; 七百五十一,0
744,七百四十二; 五百八十六,0
745,三百九十六; 七百二十六,1
746,百十四; 七百五十四,1
747,二百二十七; 三百四十一,1
748,七百九十三; 八百二十二,1
749,三百三十八; 二百二十二,0
750,二百三十四; 三十七,0
751,六百三十一; 六百七十一,1
752,八百; 七百四十三,0
753,九百八十五; 二百九十九,0
754,百八十九; 六百三十,1
755,百六十七; 三百十二,1
756,七百八十四; 三百五十三,0
757,二十七; 四百十二,1
758,六百三十六; 八百三十六,1
759,七百九十五; 三百六,0
760,三百四十三; 七百四十九,1
761,七百三十九; 三百二十八,0
762,六百四十八; 五百七十二,0
763,二百二十七; 八百九十七,1
764,五百三十二; 九百二十,1
765,七百八十二; 四百五十七,0
766,百三; 五百十二,1
767,五百九十八; 二百二十三,0
768,二百八十一; 三百四,1
769,六百九十六; 六百十九,0
770,百八十; 九百二,1
771,三百七十四; 六百三十,1
772,九百七十八; 三百八十五,0
773,四百五; 八百六十,1
774,三百八十七; 九百九十七,1
775,八百五十一; 八百八十一,1
776,六百五十一; 六百四十,0
777,二百二十七; 五百八十七,1
778,六百三十五; 二百四十二,0
779,三百六十九; 二百九十七,0
780,九百二十四; 五,0
781,百二十二; 六百十六,1
782,五百四十八; 二百九,0
783,七百九十四; 六十三,0
784,六百九; 三百二十七,0
785,七百六十九; 五百三十七,0
786,五十五; 六百二十一,1
787,百五十四; 二百七十七,1
788,九百五十五; 五百四十六,0
789,四百四十; 六百六十七,1
790,五百六十七; 七百十九,1
791,八百九十一; 三百五十三,0
792,九百五十七; 百八十六,0
793,五百八十九; 九百九十,1
794,五百九十三; 六百七十,1
795,六百六十四; 百六十九,0
796,二十四; 二百二十一,1
797,九百四十九; 二百十三,0
798,六百九十七; 十一,0
799,九百九十六; 六百七,0
800,百三十一; 四百八,1
801,六百六十八; 三百八十六,0
802,三十九; 八百四十三,1
803,九百六十七; 四百九十,0
804,九百十三; 六十九,0
805,七百九十; 四十四,0
806,四百十六; 九百四十五,1
807,二百十二; 九百七十,1
808,三百四十五; 七百六十七,1
809,百七十二; 二百二十一,1
810,八百四十三; 八百六十二,1
811,六百十九; 五百六十八,0
812,三百八十三; 八百五十一,1
813,四百七十四; 六百八十四,1
814,七百五十一; 六百七十,0
815,四百二十一; 四百十七,0
816,五百八十三; 四百九十八,0
817,三百八十; 七百五十三,1
818,九百十四; 七百六十八,0
819,百七十三; 八十八,0
820,三百七; 三百六十一,1
821,八十七; 八百五十九,1
822,七百五十八; 二百五十四,0
823,六百七十四; 五百二十九,0
824,三百三十七; 六百五十四,1
825,七百九十六; 四百九,0
826,四百八十九; 四百三十二,0
827,四百五十四; 六百五,1
828,六百十八; 七百三十五,1
829,五百七十五; 四百五十五,0
830,五十三; 百八十四,1
831,四百四十九; 三百七,0
832,九百十六; 七百九十五,0
833,七百七十四; 八百二十八,1
834,五百九十八; 百六十一,0
835,七百九十三; 九百八十五,1
836,百七十八; 九百八十四,1
837,三百十六; 六百六十五,1
838,四百三十九; 四百六十一,1
839,五百五十一; 八百九十六,1
840,八百三十六; 三百九十四,0
841,八百三十九; 三百五十四,0
842,三百九十四; 六百三十四,1
843,九百三; 六百十九,0
844,九百十七; 六百八十七,0
845,三百六十九; 八百六十二,1
846,五百四十九; 八百四十七,1
847,九百十六; 百八十,0
848,百八十八; 七百八十七,1
849,九百三十一; 六百八十七,0
850,七十三; 九百七十二,1
851,八百七十四; 六百十六,0
852,六十四; 百八,1
853,四百二十四; 五百四十六,1
854,三; 三百十一,1
855,二百八十八; 八百四十五,1
856,九百六十二; 四百三十二,0
857,三百七十二; 四百三,1
858,五百七十八; 五百二十九,0
859,九百八十; 三百十九,0
860,七百五; 八百五十七,1
861,五百十六; 八百四十八,1
862,九百九十七; 二百五十三,0
863,五百六十八; 六百八,1
864,七百二十八; 六百八十九,0
865,四百九十四; 四百四十九,0
866,二百九十八; 五百六十六,1
867,四百八; 八百八十五,1
868,四百四十六; 三百八十六,0
869,百十四; 二百十六,1
870,八百八十六; 七百八十一,0
871,九百九十二; 八百七十一,0
872,四百七十二; 六百十三,1
873,九百八十六; 二百十三,0
874,三十二; 二百二十三,1
875,五百三十; 三百十四,0
876,七百十二; 六百八十七,0
877,七百八十八; 九百六,1
878,四百七十四; 六百十二,1
879,七; 五百七十一,1
880,百七十二; 七百三十八,1
881,百九十五; 九百十,1
882,四百四十; 五百六十一,1
883,五百五十六; 七百九十六,1
884,八十六; 百五十三,1
885,八百六十九; 二百四十七,0
886,六百二十四; 二百三十五,0
887,九百六十; 三百六,0
888,七百七十二; 三百七十二,0
889,三百五十九; 百八十一,0
890,三百五十; 百五,0
891,七百三十九; 四百四十八,0
892,百三十一; 九百九十,1
