sanzen gohyaku gojuu kyuu, yonsen nanahyaku shichijuu go
gohyaku juu, ni sen hyaku sanjuu ni
yonsen happyaku hatachi roku, sen nanahyaku hachijuu go
yonsen roppyaku rokujuu hitotsu, sanzen nanahyaku rokujuu shichi
ni sen kyuuhyaku kyuujuu san, sanzen roppyaku juuhachi
sen sanbyaku hachijuu kyuu, gohyaku hatachi
sen happyaku hachijuu go, sen nihyaku rokujuu
nanahyaku juukyuu, yonsen sanbyaku rokujuu roku
yonsen nanahyaku hatachi san, nanahyaku rokujuu kyuu
hyaku shichijuu roku, yonsen nanahyaku hatachi shichi
kyuuhyaku roku, sanzen nihyaku juuhachi
yonsen sanbyaku rokujuu ni, sen sanbyaku juu
gohyaku hachijuu san, kyuuhyaku hatachi san
yonsen kyuuhyaku hatachi yon, yonsen hachi
sen sanbyaku yonjuu roku, yonhyaku rokujuu kyuu
sen kyuuhyaku juuichi, roppyaku hatachi kyuu
sanzen nanahyaku hatachi roku, sen roppyaku hatachi go
sanzen kyuuhyaku hatachi ni, sanzen roppyaku hachijuu hitotsu
sanbyaku gojuu san, ni sen roppyaku yonjuu go
ni sen kyuujuu ni, hyaku hatachi
shichijuu hitotsu, ni sen nanahyaku shichijuu hachi
sen gohyaku hatachi hachi, sen happyaku gojuu kyuu
sen happyaku rokujuu shichi, sanzen nihyaku kyuujuu san
kyuuhyaku gojuu yon, yonsen sanbyaku hachijuu
sen roppyaku juuichi, nanahyaku yonjuu roku
sanzen yonhyaku hatachi yon, yonsen happyaku hachijuu hachi
ni sen happyaku kyuujuu go, yonsen nihyaku hachijuu
ni sen kyuuhyaku yonjuu san, sanbyaku hachijuu ni
ni sen nihyaku juuichi, ni sen roppyaku hatachi hachi
hyaku yonjuu yon, sanzen yonhyaku gojuu san
sen yonhyaku ni, yonsen nihyaku yonjuu
sanzen hyaku shichijuu san, sanzen kyuuhyaku juuni
sen gohyaku kyuujuu shichi, sen kyuuhyaku hachijuu kyuu
gohyaku kyuujuu shichi, sen gohyaku hatachi shichi
nihyaku kyuujuu ni, sanzen roppyaku gojuu san
ni sen sanbyaku yonjuu kyuu, yonsen gohyaku gojuu shichi
sen nanahyaku go, sen nanahyaku hachijuu hachi
sen nanahyaku hatachi san, yonsen sanbyaku shichijuu san
yonsen nihyaku rokujuu, roppyaku san
sen nanahyaku hatachi kyuu, sanzen happyaku hachijuu yon
yonsen nanahyaku yonjuu hitotsu, yonsen yonhyaku juugo
sanzen nihyaku sanjuu ni, ni sen gohyaku gojuu yon
yonsen happyaku hatachi roku, yonsen sanbyaku shichijuu
ni sen kyuuhyaku rokujuu roku, kyuuhyaku hatachi roku
nanahyaku hachijuu shichi, yonsen sanbyaku gojuu shichi
ni sen gohyaku hachi, ni sen roppyaku yon
ni sen happyaku shichijuu kyuu, gohyaku sanjuu shichi
gohyaku rokujuu san, ni sen shichijuu
gohyaku juuichi, ni sen nanahyaku juushichi
sen hyaku kyuujuu roku, yonsen gohyaku kyuujuu shichi
sen gohyaku yonjuu shichi, ni sen nihyaku hatachi san
nanahyaku hatachi san, ni sen yonhyaku shichijuu san
yonsen happyaku sanjuu roku, yonsen nanahyaku hatachi hachi
sanbyaku juusan, sen gohyaku juuni
ni sen nihyaku hachijuu san, yonsen kyuuhyaku shichijuu san
ni sen kyuuhyaku hatachi yon, sanzen roppyaku shichijuu go
yonsen happyaku yonjuu roku, sen hyaku shichijuu ni
yonsen gohyaku gojuu kyuu, sen happyaku gojuu hitotsu
yonsen gohyaku yonjuu yon, yonsen happyaku sanjuu go
yonhyaku hatachi, ni sen yonhyaku shichi
ni sen yon, kyuuhyaku rokujuu
ni sen happyaku yonjuu roku, sen nanahyaku shichijuu shichi
ni sen yonhyaku yonjuu, sen happyaku juu
sen gohyaku yon, ni sen hachijuu hitotsu
yonsen kyuuhyaku hachijuu shichi, yonsen hatachi go
roppyaku sanjuu yon, sanzen hyaku gojuu yon
yonsen roppyaku shichijuu ni, sanzen hyaku gojuu hitotsu
yonsen nanahyaku kyuujuu ni, sen nihyaku hatachi roku
sen roppyaku hitotsu, sanzen sanbyaku shichijuu kyuu
sen roppyaku hachijuu ni, yonhyaku gojuu
sanzen gohyaku shichijuu roku, sanzen nanahyaku hatachi ni
yonsen happyaku hachi, kyuuhyaku gojuu
yonsen sanbyaku juuichi, sen happyaku yonjuu san
yonsen nihyaku gojuu, sanzen gojuu hachi
ni sen hyaku hatachi go, sanzen nihyaku yonjuu roku
happyaku san, yonsen nanahyaku gojuu hachi
ni sen nanahyaku yonjuu kyuu, nanahyaku juuroku
sanzen yonhyaku gojuu ni, yonsen yonjuu roku
sen gohyaku hatachi go, sen yonhyaku sanjuu ni
sanzen kyuuhyaku sanjuu go, yonsen nanahyaku yonjuu shichi
sen gohyaku kyuujuu, yonsen nanahyaku sanjuu kyuu
sanzen gohyaku gojuu roku, yonsen hyaku hatachi hitotsu
sanzen hyakuhachi juugo, yonsen nihyaku gojuu shichi
sanzen hatachi hachi, sen gojuu hachi
sen sanbyaku sanjuu ni, sen happyaku yonjuu san
roppyaku gojuu ni, yonsen happyaku shichijuu
ni sen happyaku hachijuu shichi, sanzen gohyaku rokujuu san
ni sen sanbyaku shichijuu hachi, ni sen happyaku shichi
hyaku sanjuu san, hyaku gojuu yon
yonsen hyaku shichijuu roku, yonsen happyaku rokujuu san
nanahyaku hatachi roku, sanzen hyaku juuichi
happyaku gojuu shichi, sen hatachi kyuu
yonsen nihyaku yon, ni sen yonjuu ni
yonsen roppyaku kyuujuu roku, sanbyaku yonjuu shichi
ni sen roppyaku hitotsu, nihyaku yonjuu
sen nanahyaku kyuujuu go, yonsen nihyaku juugo
nanahyaku shichijuu, yonsen happyaku yonjuu ni
yonsen kyuuhyaku hatachi san, happyaku rokujuu san
shichijuu hachi, sen yonhyaku sanjuu hachi
yonsen kyuuhyaku gojuu ni, sen kyuuhyaku hatachi yon
sen yonhyaku kyuujuu hachi, sen nanahyaku juu
yonsen nanahyaku shichijuu yon, happyaku rokujuu ni
sen gohyaku, sen hachijuu san
ni sen yonjuu shichi, sen happyaku rokujuu san
sen nihyaku rokujuu kyuu, yonsen nihyaku juugo
sen yonhyaku rokujuu kyuu, yonsen happyaku hachijuu ni
sen kyuuhyaku yonjuu shichi, sen nihyaku kyuujuu san
yonsen kyuuhyaku shichijuu ni, sen hyaku kyuujuu san
yonsen happyaku kyuujuu hitotsu, sanbyaku rokujuu go
ni sen gojuu kyuu, hachijuu shichi
yonsen gohyaku rokujuu san, sanzen gohyaku kyuujuu go
nanahyaku hachijuu go, happyaku gojuu ni
sen nihyaku shichijuu hitotsu, sen nanahyaku hachijuu
ni sen nihyaku rokujuu shichi, ni sen roppyaku yonjuu san
sen hatachi san, yonsen gohyaku kyuujuu roku
sen nihyaku gojuu go, sanzen juushi
yonsen gohyaku hatachi ni, sen gohyaku juu
ni sen yonhyaku yon, ni sen nanahyaku yonjuu san
yonsen nanahyaku go, yonsen hyaku gojuu roku
yonsen nihyaku shichijuu hitotsu, sen yonhyaku gojuu go
sanzen happyaku hachijuu, sanzen yonhyaku yonjuu roku
sen sanbyaku yon, ni sen roppyaku gojuu san
ni sen shichijuu hachi, roppyaku sanjuu hitotsu
nihyaku hachijuu, sen roppyaku yonjuu hachi
sanzen gohyaku kyuujuu ni, sen nihyaku yonjuu shichi
yonsen nihyaku shichijuu, ni sen gohyaku gojuu go
sen kyuuhyaku, ni sen hyakuhachi juushichi
yonsen hyaku hatachi go, ni sen sanbyaku yonjuu go
sen yonhyaku kyuujuu roku, yonsen hachijuu hachi
nihyaku hachijuu san, sen yonhyaku gojuu
happyaku sanjuu roku, yonjuu shichi
sen happyaku hatachi hitotsu, ni sen yonhyaku hachijuu kyuu
yonsen hyakuhachi juuhachi, yonsen hyaku shichijuu hitotsu
ni sen sanbyaku roku, sen sanbyaku kyuu
ni sen gohyaku rokujuu shichi, gohyaku shichijuu
sanbyaku hatachi go, sen happyaku rokujuu roku
ni sen gohyaku juugo, ni sen gohyaku yonjuu yon
sen, sanzen hatachi hitotsu
ni sen gohyaku hachijuu kyuu, sen roppyaku gojuu ni
sanzen gohyaku juugo, sen gohyaku rokujuu roku
sen gohyaku yonjuu go, yonsen sanjuu san
ni sen gohyaku hachijuu, sen nihyaku shichijuu roku
sanzen gohyaku hachi, sanzen nihyaku sanjuu ni
ni sen roppyaku yonjuu go, sanzen kyuuhyaku shichijuu roku
hyaku gojuu go, sen rokujuu
ni sen nihyaku hatachi san, sen nanahyaku juuroku
yonsen happyaku shichijuu shichi, ni sen happyaku sanjuu
sen roppyaku yonjuu, sanzen happyaku shichijuu yon
sanzen yonhyaku gojuu roku, roppyaku kyuujuu kyuu
nihyaku yonjuu kyuu, gohyaku juukyuu
ni sen yonhyaku gojuu kyuu, sen yonhyaku sanjuu hitotsu
gohyaku hachijuu hachi, ni sen yon
sen sanbyaku shichijuu hitotsu, yonsen gohyaku hatachi hitotsu
yonsen hyaku gojuu, ni sen kyuuhyaku sanjuu hachi
sanzen nanahyaku hachijuu kyuu, ni sen sanbyaku juushi
sanzen hyaku rokujuu roku, ni sen yonhyaku sanjuu hitotsu
ni sen kyuuhyaku yonjuu shichi, sanbyaku yonjuu hitotsu
nanahyaku yonjuu hitotsu, yonsen hyaku kyuujuu hitotsu
yonhyaku yonjuu ni, yonsen yonhyaku sanjuu kyuu
sen happyaku rokujuu go, sen nanahyaku hatachi san
sen nanahyaku sanjuu shichi, sen sanbyaku hatachi san
sanzen hachijuu roku, hyakuhachi juukyuu
happyaku shichijuu kyuu, nihyaku hachi
sen happyaku ni, yonsen happyaku yon
sen gohyaku kyuujuu hachi, ni sen roppyaku shichijuu hitotsu
sen yonhyaku kyuujuu kyuu, sen happyaku yonjuu shichi
sanzen yonhyaku sanjuu, sen hyaku juu
sen nihyaku gojuu go, nanahyaku shichijuu san
yonsen hyaku kyuujuu hitotsu, yonsen sanbyaku hatachi go
sanzen yonhyaku gojuu roku, kyuujuu hitotsu
sanzen gohyaku hatachi san, sen kyuuhyaku kyuujuu roku
ni sen sanbyaku hachijuu hachi, sen roppyaku gojuu shichi
sanzen gohyaku kyuujuu shichi, nihyaku hachijuu kyuu
nanahyaku sanjuu ni, happyaku shichijuu san
sen hyaku hatachi roku, sen nihyaku juuichi
sen yonhyaku sanjuu kyuu, sen yonjuu roku
sanzen sanbyaku hachijuu shichi, ni sen yonhyaku gojuu kyuu
sen sanbyaku juushi, roppyaku shichijuu roku
ni sen hyaku kyuujuu san, sanzen gohyaku gojuu roku
yonsen hachi, sen sanbyaku hachijuu san
ni sen yonhyaku hachijuu kyuu, sanbyaku sanjuu hitotsu
yonhyaku kyuujuu ni, gohyaku kyuujuu san
ni sen nanahyaku sanjuu shichi, sanzen nihyaku yonjuu hachi
sen roppyaku yonjuu ni, sanzen kyuuhyaku juuroku
sen gohyaku shichijuu kyuu, sanzen juuhachi
sen gojuu ni, happyaku rokujuu hitotsu
gohyaku juushi, ni sen gohyaku kyuu
ni sen happyaku hatachi yon, sen nihyaku go
kyuuhyaku gojuu san, ni sen hyaku yonjuu kyuu
yonsen yonhyaku hatachi hitotsu, yonsen hyaku
ni sen sanbyaku kyuu, gojuu ni
roppyaku gojuu ni, yonsen rokujuu hachi
sanzen nanahyaku kyuujuu shichi, yonsen sanbyaku gojuu hitotsu
sen nihyaku hatachi hitotsu, ni sen yonhyaku shichijuu hachi
sen sanbyaku rokujuu hitotsu, sen sanbyaku sanjuu roku
sanzen yonhyaku sanjuu hitotsu, sen nanahyaku hatachi hitotsu
hachijuu yon, nihyaku yonjuu
yonsen sanbyaku rokujuu hachi, yonsen yonhyaku sanjuu shichi
sanzen yonhyaku kyuujuu kyuu, ni sen sanbyaku kyuujuu san
ni sen sanbyaku hatachi go, sen sanbyaku hachijuu
yonsen gohyaku hachijuu kyuu, ni sen sanbyaku shichi
sen gohyaku hachijuu hachi, yonsen happyaku gojuu go
ni sen hyaku sanjuu ni, sen roppyaku hachijuu shichi
roppyaku sanjuu go, ni sen yonhyaku shichijuu shichi
yonsen hyaku gojuu go, nanahyaku kyuujuu shichi
yonsen nanahyaku kyuujuu roku, yonsen yonhyaku hatachi san
ni sen hatachi yon, sanzen yonhyaku shichijuu
roppyaku kyuujuu shichi, sanzen nanahyaku yon
roppyaku gojuu go, yonsen happyaku juushi
yonsen sanbyaku yonjuu kyuu, sanzen hyaku rokujuu ni
sen happyaku hachijuu roku, yonsen sanjuu shichi
sanbyaku rokujuu san, yonsen hyaku hatachi san
sen gohyaku rokujuu kyuu, ni sen kyuujuu ni
yonsen nihyaku go, sen nanahyaku juushi
nihyaku yonjuu go, sen gohyaku juuhachi
yonsen sanbyaku hatachi kyuu, sanzen nanahyaku go
sen hachi, hachijuu roku
ni sen hyaku yonjuu san, yonsen gohyaku kyuu
juuhachi, roppyaku kyuujuu shichi
sanzen sanjuu roku, sen happyaku gojuu go
sanzen gohyaku hachijuu, sanzen rokujuu hachi
yonsen gohyaku shichijuu san, yonsen kyuuhyaku shichijuu shichi
ni sen nihyaku shichijuu hitotsu, yonsen yonhyaku sanjuu san
yonsen roppyaku hatachi shichi, yonsen gohyaku kyuujuu san
ni sen roppyaku hatachi, sen nanahyaku rokujuu hachi
yonsen nihyaku yonjuu ni, nanahyaku hatachi roku
sanbyaku yonjuu shichi, sanzen gohyaku sanjuu kyuu
shichijuu hachi, sanzen sanbyaku hatachi yon
sen sanbyaku rokujuu kyuu, yonsen nanahyaku hitotsu
sen happyaku yonjuu, yonsen happyaku juuni
ni sen hyaku rokujuu ni, kyuuhyaku juuni
hyaku kyuujuu san, sen sanbyaku gojuu san
yonhyaku juushi, yonsen nihyaku sanjuu hitotsu
yonsen roppyaku gojuu san, ni sen gohyaku hatachi yon
sanzen happyaku hachi, yonsen gojuu go
yonsen yonhyaku yon, sen nihyaku sanjuu go
hyaku san, sanzen nanahyaku gojuu shichi
yonsen nanahyaku hachijuu san, yonsen hyaku rokujuu go
ni sen sanjuu go, ni sen gohyaku shichijuu roku
ni sen rokujuu kyuu, yonsen yonhyaku rokujuu
yonhyaku juugo, sen sanbyaku kyuujuu yon
yonsen yonhyaku yonjuu hitotsu, sanzen nanahyaku hatachi shichi
sen kyuuhyaku rokujuu hitotsu, sen sanbyaku roku
roppyaku shichijuu hitotsu, hyaku gojuu ni
yonsen yonhyaku shichijuu hitotsu, sen yonhyaku hachijuu hachi
yonsen hyakuhachi, ni sen nihyaku shichijuu
roppyaku kyuujuu hitotsu, yonsen sanbyaku juu
yonsen hachijuu, ni sen nihyaku sanjuu hachi
yonsen hyaku kyuujuu kyuu, sen nihyaku juushichi
sen yonhyaku shichijuu shichi, sanzen nihyaku hachijuu roku
sen yonhyaku rokujuu kyuu, ni sen gohyaku roku
sanzen hyaku yonjuu kyuu, sanjuu roku
gohyaku san, sen sanbyaku hatachi ni
sen yonhyaku juushi, yonhyaku hitotsu
yonsen kyuuhyaku juuni, yonsen kyuujuu kyuu
yonsen kyuuhyaku yonjuu, kyuuhyaku hachijuu hitotsu
sanzen nihyaku hatachi hitotsu, yonhyaku gojuu hitotsu
ni sen nanahyaku hachijuu san, yonsen sanbyaku sanjuu shichi
sanzen sanbyaku sanjuu yon, sanzen roppyaku rokujuu yon
ni sen happyaku yonjuu roku, sanzen yonhyaku hachijuu
sanbyaku, yonsen kyuuhyaku juuichi
rokujuu kyuu, ni sen kyuujuu yon
sen nanahyaku hachijuu roku, yonhyaku gojuu
sanzen nanahyaku yonjuu hachi, yonsen sanbyaku juuni
yonsen kyuujuu kyuu, yonsen rokujuu go
sanzen yonhyaku san, yonsen yonhyaku shichi
sen nanahyaku shichi, sen happyaku rokujuu go
sanzen rokujuu yon, ni sen kyuuhyaku kyuujuu ni
ni sen roppyaku go, yonsen rokujuu roku
sanzen nihyaku yonjuu, yonsen roppyaku hatachi
yonsen sanbyaku hachijuu san, sanzen nihyaku yonjuu san
sanzen yonhyaku yonjuu go, ni sen happyaku yonjuu san
yonsen sanbyaku shichi, sanzen hyaku juuhachi
ni sen roppyaku juuichi, yonsen sanbyaku shichijuu roku
yonsen kyuuhyaku kyuujuu hitotsu, hyaku kyuujuu ni
sen yonhyaku sanjuu kyuu, yonhyaku san
nihyaku kyuujuu hitotsu, sen hyaku kyuujuu shichi
sen sanbyaku hitotsu, kyuuhyaku kyuujuu
happyaku shichi, ni sen roppyaku hatachi shichi
sen sanjuu shichi, sen nanahyaku yonjuu kyuu
yonsen nihyaku gojuu shichi, yonsen roppyaku yonjuu roku
sanzen kyuuhyaku hatachi ni, kyuuhyaku gojuu roku
yonsen yonhyaku kyuu, sen gojuu shichi
sen nanahyaku rokujuu, ni sen yonhyaku hachijuu roku
sanzen hachijuu shichi, ni sen roppyaku yonjuu roku
ni sen yonhyaku juuroku, ni sen sanbyaku hatachi hachi
sen happyaku sanjuu go, sanzen roppyaku rokujuu go
ni sen happyaku hatachi roku, ni sen happyaku gojuu roku
ni sen gohyaku hitotsu, sanzen nihyaku yon
yonsen juugo, sen hyaku sanjuu kyuu
yonsen sanbyaku gojuu san, ni sen yonhyaku rokujuu hitotsu
yonsen happyaku sanjuu, happyaku hatachi hachi
sen nihyaku ni, sanbyaku sanjuu san
yonsen, hyaku rokujuu roku
yonsen nihyaku, yonsen kyuuhyaku hachijuu go
sanzen gohyaku sanjuu kyuu, ni sen gohyaku sanjuu
sen kyuuhyaku shichijuu go, sen gohyaku gojuu kyuu
sen happyaku kyuujuu hachi, ni sen nihyaku kyuujuu hitotsu
ni sen nanahyaku gojuu san, yonsen yonhyaku hachijuu hitotsu
ni sen roppyaku rokujuu ni, kyuuhyaku juuroku
hyaku rokujuu shichi, yonhyaku kyuujuu kyuu
ni sen hachijuu hitotsu, sen roku
sen sanbyaku hatachi ni, ni sen nanahyaku hachijuu
ni sen hyaku rokujuu shichi, kyuuhyaku rokujuu shichi
sanzen kyuuhyaku sanjuu shichi, sen happyaku shichijuu
sen gohyaku juusan, roppyaku juuroku
ni sen nihyaku shichijuu shichi, happyaku shichijuu shichi
sen sanbyaku sanjuu ni, sanzen nanahyaku hatachi ni
sen hachijuu hitotsu, ni sen roppyaku hatachi hitotsu
yonsen yonhyaku shichijuu hitotsu, nihyaku gojuu ni
gohyaku rokujuu kyuu, sen happyaku sanjuu roku
sanzen nanahyaku hatachi ni, sen nanahyaku sanjuu shichi
yonsen nanahyaku yonjuu hachi, sen hachijuu shichi
yonsen kyuuhyaku hachijuu shichi, yonsen kyuujuu hitotsu
ni sen nihyaku rokujuu san, roppyaku sanjuu san
nanahyaku kyuujuu san, yonsen hyaku gojuu hachi
sen kyuuhyaku gojuu kyuu, sanbyaku sanjuu shichi
yonsen nihyaku kyuujuu kyuu, sen yonhyaku sanjuu hitotsu
yonsen sanbyaku roku, sen yonhyaku gojuu ni
sanzen sanbyaku hachijuu yon, sanzen yonhyaku juuichi
sanzen hyaku juuhachi, ni sen gohyaku kyuujuu yon
sanbyaku kyuujuu yon, ni sen yonhyaku juushi
yonsen sanjuu yon, sen kyuuhyaku sanjuu
sen yonhyaku juusan, yonsen sanbyaku hatachi go
sen roppyaku sanjuu yon, sen happyaku juushi
sanzen gohyaku hachijuu hitotsu, sen sanbyaku hachijuu hachi
sanzen kyuuhyaku shichijuu go, kyuuhyaku
sen kyuuhyaku gojuu ni, sen sanbyaku hatachi
sanzen gohyaku kyuujuu hachi, sanzen yonhyaku gojuu roku
happyaku gojuu shichi, sen nihyaku sanjuu kyuu
yonsen kyuuhyaku shichijuu hachi, sen yonhyaku hatachi hitotsu
ni sen sanbyaku gojuu shichi, yonsen kyuuhyaku gojuu yon
yonsen sanbyaku yonjuu, ni sen nihyaku hatachi roku
yonsen nihyaku hatachi go, sanzen yonhyaku sanjuu hachi
sen kyuuhyaku hatachi yon, sen nihyaku kyuujuu roku
yonjuu hitotsu, yonsen sanbyaku kyuu
sen yonhyaku yonjuu roku, ni sen hyaku yonjuu roku
sen hatachi roku, sanzen kyuuhyaku shichijuu yon
sen nihyaku hachijuu, sen yonhyaku rokujuu yon
ni sen yonhyaku juuroku, yonsen happyaku hatachi ni
gohyaku shichi, sanzen hitotsu
ni sen roppyaku hatachi ni, yonsen gohyaku juushichi
nihyaku gojuu san, roppyaku juuroku
sanzen juu, sen sanbyaku shichijuu san
sanzen kyuuhyaku hachijuu shichi, sanzen kyuuhyaku gojuu hachi
kyuuhyaku gojuu, yonsen gohyaku shichijuu san
ni sen nihyaku yonjuu san, sanzen sanbyaku kyuu
yonsen yonhyaku rokujuu yon, yonsen roppyaku shichijuu san
yonsen yonhyaku roku, yonsen yonhyaku hitotsu
ni sen happyaku, yonsen nanahyaku kyuujuu hachi
happyaku juuni, sen kyuuhyaku juuhachi
ni sen happyaku hachijuu ni, sanzen go
ni sen kyuuhyaku juukyuu, roppyaku sanjuu ni
hyaku rokujuu kyuu, hyaku gojuu hachi
ni sen yonhyaku ni, ni sen hachijuu shichi
yonsen happyaku kyuujuu kyuu, roppyaku hachijuu san
yonsen yonhyaku gojuu hachi, happyaku hatachi hitotsu
sanzen nihyaku, ni sen sanbyaku hatachi kyuu
ni sen kyuujuu go, ni sen nihyaku juuichi
ni sen roppyaku kyuujuu ni, sen happyaku rokujuu ni
sen hyaku sanjuu ni, nihyaku rokujuu kyuu
sen hyaku yon, sen nihyaku hachijuu hachi
yonsen yonhyaku hachijuu roku, ni sen kyuuhyaku shichijuu hachi
ni sen kyuuhyaku shichijuu shichi, sen happyaku rokujuu yon
yonsen hyaku ni, ni sen gohyaku gojuu roku
yonsen yonhyaku kyuujuu, sen nanahyaku gojuu hachi
sanzen kyuu, sen hyaku yonjuu kyuu
ni sen roppyaku shichijuu ni, sen gohyaku rokujuu go
sanzen kyuuhyaku kyuujuu go, sanzen gohyaku sanjuu hitotsu
sanzen happyaku sanjuu yon, hyaku kyuujuu roku
hyaku yonjuu shichi, kyuuhyaku shichijuu shichi
sanbyaku rokujuu ni, sanzen yonhyaku hachijuu kyuu
ni sen sanbyaku gojuu yon, yonhyaku sanjuu ni
sanzen kyuuhyaku gojuu roku, sanbyaku yonjuu yon
ni sen nihyaku juushichi, yonsen kyuuhyaku yon
sanzen roppyaku kyuujuu ni, sen gojuu shichi
ni sen roppyaku yonjuu shichi, ni sen nanahyaku sanjuu hitotsu
yonsen happyaku kyuujuu ni, sen roppyaku kyuujuu go
ni sen nihyaku juuni, yonsen gohyaku hitotsu
ni sen nihyaku hachijuu shichi, sen sanbyaku roku
sanzen roppyaku hachijuu kyuu, yonsen yonhyaku sanjuu kyuu
nihyaku sanjuu yon, sanzen yonjuu roku
ni sen hyaku sanjuu go, sen sanbyaku sanjuu san
kyuuhyaku sanjuu hachi, ni sen nanahyaku yonjuu hachi
nanahyaku hatachi go, yonsen juuni
sen kyuujuu shichi, sanzen gohyaku roku
yonsen nihyaku yonjuu yon, sanzen nanahyaku juushi
sanzen sanbyaku juuichi, yonsen happyaku shichijuu san
ni sen kyuujuu, yonsen shichijuu kyuu
yonsen hatachi, ni sen hyaku gojuu shichi
roppyaku kyuu, sen happyaku hachi
ni sen nihyaku yonjuu san, sen kyuuhyaku gojuu ni
sanzen happyaku sanjuu shichi, hyaku juusan
roppyaku san, ni sen nihyaku sanjuu go
ni sen hyakuhachi juugo, yonsen happyaku hatachi kyuu
gohyaku juushichi, happyaku hatachi
yonsen yonhyaku shichijuu go, yonsen kyuuhyaku sanjuu hachi
happyaku rokujuu, yonsen hyaku rokujuu ni
sanzen roppyaku shichijuu, yonhyaku sanjuu ni
sen sanbyaku hachijuu hitotsu, sen happyaku sanjuu
ni sen yonhyaku shichijuu yon, ni sen yonhyaku hachijuu go
yonsen yonhyaku yonjuu hitotsu, hyaku hatachi roku
ni sen nihyaku hatachi hachi, nanahyaku kyuujuu hitotsu
yonsen nihyaku gojuu kyuu, sen gojuu yon
sanzen nihyaku sanjuu san, yonsen hyaku sanjuu shichi
sen roppyaku gojuu, roppyaku rokujuu go
sanzen sanbyaku sanjuu kyuu, yonsen hyaku hatachi ni
ni sen nihyaku hatachi san, sanzen happyaku kyuujuu go
kyuuhyaku juusan, ni sen kyuuhyaku sanjuu roku
kyuuhyaku ni, yonsen nihyaku yonjuu kyuu
hatachi san, yonsen gohyaku gojuu kyuu
yonsen happyaku kyuujuu yon, ni sen nanahyaku hatachi hitotsu
yonsen roppyaku yon, sanzen happyaku yonjuu san
yonsen kyuujuu yon, sen roppyaku rokujuu go
gohyaku gojuu kyuu, sanzen gohyaku gojuu ni
