,sents,labels
0,二千六百七十四つのリングがあります。; 千二百十八つのリングがあります。,0
57,アイゼンガードにホビット二千百四十六匹を連れて行く。; アイゼンガードにホビット千九百四十二匹を連れて行く。,0
58,アイゼンガードにホビット四千四百九十九匹を連れて行く。; アイゼンガードにホビット四百六十三匹を連れて行く。,0
59,レゴラスは二千二百九十二人の小人を投げました。; レゴラスは五百八十二人の小人を投げました。,0
60,部屋は二千四百九十八つのジャガイモで満たされていました。; 部屋は千九十三つのジャガイモで満たされていました。,0
61,家には猫が二百二十二匹いました。; 家には猫が三千四百二十九匹いました。,1
62,四千六百六十八つのリングがあります。; 二千二百五十六つのリングがあります。,0
63,千八百七十二ドルかかります。; 二千二百九十八ドルかかります。,1
64,二千七百二つのリングがあります。; 千百十四つのリングがあります。,0
65,三千七百三十九つのリングがあります。; 二千九百六つのリングがあります。,0
66,部屋は四千九百四つのジャガイモで満たされていました。; 部屋は八百九十七つのジャガイモで満たされていました。,0
67,家には猫が五百十九匹いました。; 家には猫が四千二百六十三匹いました。,1
68,部屋は三千百四十五つのジャガイモで満たされていました。; 部屋は三千五百九十四つのジャガイモで満たされていました。,1
69,部屋は三千七百五十一つのジャガイモで満たされていました。; 部屋は三千九百六十つのジャガイモで満たされていました。,1
70,二千六百七十七つのリングがあります。; 三千六十つのリングがあります。,1
71,二千九十二つのリングがあります。; 三千四百八十六つのリングがあります。,1
72,レゴラスは四千四百四十五人の小人を投げました。; レゴラスは二十八人の小人を投げました。,0
73,アイゼンガードにホビット四百四十三匹を連れて行く。; アイゼンガードにホビット三千五百六十六匹を連れて行く。,1
74,家には猫が千六百八十八匹いました。; 家には猫が四千六百七十二匹いました。,1
75,三千九百四十八つのリングがあります。; 千八百二十一つのリングがあります。,0
76,部屋は三千百五十二つのジャガイモで満たされていました。; 部屋は四千七百五十九つのジャガイモで満たされていました。,1
77,部屋は四千七百二十五つのジャガイモで満たされていました。; 部屋は二千七百五十三つのジャガイモで満たされていました。,0
78,テーブルには三千八十四つのリンゴがありました。; テーブルには九百三十つのリンゴがありました。,0
79,アイゼンガードにホビット三千五百四十四匹を連れて行く。; アイゼンガードにホビット四千六百四十二匹を連れて行く。,1
80,テーブルには四千五百七十五つのリンゴがありました。; テーブルには千七百十六つのリンゴがありました。,0
81,アイゼンガードにホビット千三百九匹を連れて行く。; アイゼンガードにホビット二千七十六匹を連れて行く。,1
82,スメアゴルは二千六百四十匹のハエを傷つけます。; スメアゴルは二十七匹のハエを傷つけます。,0
83,アイゼンガードにホビット四千七百三十四匹を連れて行く。; アイゼンガードにホビット四千六百七十七匹を連れて行く。,0
84,千七百七十つのリングがあります。; 三千二十つのリングがあります。,1
85,テーブルには二千三百二十四つのリンゴがありました。; テーブルには百十五つのリンゴがありました。,0
86,レゴラスは三千五百二十六人の小人を投げました。; レゴラスは三千七百四十五人の小人を投げました。,1
87,部屋は二千六百十三つのジャガイモで満たされていました。; 部屋は三千七百五十七つのジャガイモで満たされていました。,1
88,四千八百三十五つのリングがあります。; 四千二百六十つのリングがあります。,0
89,家には猫が四千三百三十九匹いました。; 家には猫が二千二百八匹いました。,0
90,少年は二千三百六十四枚のコインを持っています。; 少年は七十七枚のコインを持っています。,0
91,スメアゴルは四千九百四十五匹のハエを傷つけます。; スメアゴルは百七十三匹のハエを傷つけます。,0
92,千四十八つのリングがあります。; 三千三百五十九つのリングがあります。,1
93,四千二百五十三つのリングがあります。; 三千五百五十四つのリングがあります。,0
94,千五百八十一ドルかかります。; 千五百三ドルかかります。,0
95,レゴラスは千二十人の小人を投げました。; レゴラスは三千六百九十七人の小人を投げました。,1
96,六百ドルかかります。; 二千百七十四ドルかかります。,1
97,アイゼンガードにホビット千九百五十三匹を連れて行く。; アイゼンガードにホビット二千二百四匹を連れて行く。,1
98,図書館には三千九百四十一冊の本があります。; 図書館には二千九百七十五冊の本があります。,0
99,スメアゴルは千七百六十九匹のハエを傷つけます。; スメアゴルは千四百六匹のハエを傷つけます。,0
100,少年は十三枚のコインを持っています。; 少年は七百九十六枚のコインを持っています。,1
101,レゴラスは三千六百十一人の小人を投げました。; レゴラスは三千五百十一人の小人を投げました。,0
102,三千六百四十七ドルかかります。; 二千九百五十七ドルかかります。,0
103,スメアゴルは二千百四十九匹のハエを傷つけます。; スメアゴルは二千八百三十六匹のハエを傷つけます。,1
104,千六百五十七ドルかかります。; 三千八百三十八ドルかかります。,1
105,部屋は二千百五十四つのジャガイモで満たされていました。; 部屋は三千七百五十つのジャガイモで満たされていました。,1
106,彼は二千八百十三個のオレンジを食べることができました。; 彼は五百三十九個のオレンジを食べることができました。,0
107,テーブルには六百五十八つのリンゴがありました。; テーブルには千四百七つのリンゴがありました。,1
108,図書館には二千四百三十九冊の本があります。; 図書館には三千二百二十七冊の本があります。,1
109,少年は千六百四十六枚のコインを持っています。; 少年は千六百三十五枚のコインを持っています。,0
110,アイゼンガードにホビット三千九百九十六匹を連れて行く。; アイゼンガードにホビット二千三百三十四匹を連れて行く。,0
111,スメアゴルは四千五百九十八匹のハエを傷つけます。; スメアゴルは千三百八十五匹のハエを傷つけます。,0
112,テーブルには三百九十四つのリンゴがありました。; テーブルには百七十一つのリンゴがありました。,0
113,少年は三千百八十三枚のコインを持っています。; 少年は四千五百六十一枚のコインを持っています。,1
114,アイゼンガードにホビット千九百十匹を連れて行く。; アイゼンガードにホビット千五百六十二匹を連れて行く。,0
115,テーブルには六十七つのリンゴがありました。; テーブルには三千四百三十二つのリンゴがありました。,1
116,レゴラスは千五十六人の小人を投げました。; レゴラスは二千七百三十八人の小人を投げました。,1
117,レゴラスは千四百三十六人の小人を投げました。; レゴラスは二千五十三人の小人を投げました。,1
118,アイゼンガードにホビット千二百六十七匹を連れて行く。; アイゼンガードにホビット二千三百十五匹を連れて行く。,1
119,スメアゴルは四千七百七十五匹のハエを傷つけます。; スメアゴルは四千六百八十四匹のハエを傷つけます。,0
120,部屋は二千八百四十つのジャガイモで満たされていました。; 部屋は三千二百六十三つのジャガイモで満たされていました。,1
121,レゴラスは三千五百二十九人の小人を投げました。; レゴラスは千九十四人の小人を投げました。,0
122,アイゼンガードにホビット四千二百八十三匹を連れて行く。; アイゼンガードにホビット二千八十七匹を連れて行く。,0
123,レゴラスは九百五十一人の小人を投げました。; レゴラスは千九百二十五人の小人を投げました。,1
124,部屋は三千四百四十二つのジャガイモで満たされていました。; 部屋は三千八百五十六つのジャガイモで満たされていました。,1
125,彼は八百十六個のオレンジを食べることができました。; 彼は千二百三十三個のオレンジを食べることができました。,1
126,家には猫が百四十六匹いました。; 家には猫が二千五百七十六匹いました。,1
127,テーブルには四十一つのリンゴがありました。; テーブルには七百五十九つのリンゴがありました。,1
128,部屋は八百十一つのジャガイモで満たされていました。; 部屋は二千八百四十二つのジャガイモで満たされていました。,1
129,図書館には三千百冊の本があります。; 図書館には四千七百二十八冊の本があります。,1
130,彼は千二百三十五個のオレンジを食べることができました。; 彼は三千七百九十個のオレンジを食べることができました。,1
131,彼は三千十四個のオレンジを食べることができました。; 彼は三千八百七十九個のオレンジを食べることができました。,1
132,テーブルには三千七百二十二つのリンゴがありました。; テーブルには二千四百四十つのリンゴがありました。,0
133,家には猫が二千八百三十八匹いました。; 家には猫が四千八百八十四匹いました。,1
134,少年は三百十八枚のコインを持っています。; 少年は千二百八十一枚のコインを持っています。,1
135,テーブルには四千九百七十六つのリンゴがありました。; テーブルには二百十五つのリンゴがありました。,0
136,図書館には二千三百七十四冊の本があります。; 図書館には二千六百六十九冊の本があります。,1
137,アイゼンガードにホビット二千五百四十八匹を連れて行く。; アイゼンガードにホビット四千六百七十五匹を連れて行く。,1
138,部屋は四千五百九十八つのジャガイモで満たされていました。; 部屋は四千八百八つのジャガイモで満たされていました。,1
139,部屋は四千百十六つのジャガイモで満たされていました。; 部屋は二千四百四十二つのジャガイモで満たされていました。,0
140,アイゼンガードにホビット三千九百三十六匹を連れて行く。; アイゼンガードにホビット四千三十一匹を連れて行く。,1
141,部屋は四百二十二つのジャガイモで満たされていました。; 部屋は四千六百五十つのジャガイモで満たされていました。,1
142,少年は七百六十一枚のコインを持っています。; 少年は三千四百二十三枚のコインを持っています。,1
143,アイゼンガードにホビット四千九百四匹を連れて行く。; アイゼンガードにホビット四千五百六十四匹を連れて行く。,0
144,九百七十一ドルかかります。; 九百四ドルかかります。,0
145,アイゼンガードにホビット四千三百八十三匹を連れて行く。; アイゼンガードにホビット四千七百五十四匹を連れて行く。,1
146,彼は二千八百八十五個のオレンジを食べることができました。; 彼は百四十七個のオレンジを食べることができました。,0
147,図書館には二千七百九十七冊の本があります。; 図書館には九百七十七冊の本があります。,0
148,テーブルには七百六つのリンゴがありました。; テーブルには三百三十八つのリンゴがありました。,0
149,図書館には二千百九十八冊の本があります。; 図書館には千九百五十三冊の本があります。,0
150,レゴラスは四十九人の小人を投げました。; レゴラスは五百七人の小人を投げました。,1
151,彼は七百個のオレンジを食べることができました。; 彼は四千三百六十七個のオレンジを食べることができました。,1
152,千二百五十三ドルかかります。; 八百十五ドルかかります。,0
153,少年は二千二十一枚のコインを持っています。; 少年は千三百四枚のコインを持っています。,0
154,四千九百十九つのリングがあります。; 二千八百六十五つのリングがあります。,0
155,レゴラスは九百六十六人の小人を投げました。; レゴラスは三千四百十七人の小人を投げました。,1
156,二千百三十三つのリングがあります。; 四百八十六つのリングがあります。,0
157,アイゼンガードにホビット二千六百七十六匹を連れて行く。; アイゼンガードにホビット三千二百二十八匹を連れて行く。,1
158,レゴラスは千七百七十八人の小人を投げました。; レゴラスは二千五百三人の小人を投げました。,1
159,彼は千二百五十九個のオレンジを食べることができました。; 彼は二千八百六十五個のオレンジを食べることができました。,1
160,彼は六百一個のオレンジを食べることができました。; 彼は四千二百三十一個のオレンジを食べることができました。,1
161,部屋は三千四百四十五つのジャガイモで満たされていました。; 部屋は五十八つのジャガイモで満たされていました。,0
162,テーブルには四千五百三十一つのリンゴがありました。; テーブルには千七百五十六つのリンゴがありました。,0
163,レゴラスは千五百三十七人の小人を投げました。; レゴラスは三千八百四十一人の小人を投げました。,1
164,三千百五十九ドルかかります。; 三千八百五十七ドルかかります。,1
165,彼は二千百七十三個のオレンジを食べることができました。; 彼は二千六百十九個のオレンジを食べることができました。,1
166,部屋は二千六百八十七つのジャガイモで満たされていました。; 部屋は四千五百四十四つのジャガイモで満たされていました。,1
167,アイゼンガードにホビット四千七百十一匹を連れて行く。; アイゼンガードにホビット二千八百三十九匹を連れて行く。,0
168,アイゼンガードにホビット三千九百五十四匹を連れて行く。; アイゼンガードにホビット三千五十九匹を連れて行く。,0
169,レゴラスは三千六百六十一人の小人を投げました。; レゴラスは二千五百三十人の小人を投げました。,0
170,アイゼンガードにホビット四千百八匹を連れて行く。; アイゼンガードにホビット千九十一匹を連れて行く。,0
171,千二百七十三つのリングがあります。; 三千百九十四つのリングがあります。,1
172,図書館には二千四百五十五冊の本があります。; 図書館には千五百九十九冊の本があります。,0
173,部屋は四千二百四十一つのジャガイモで満たされていました。; 部屋は二千三百八十九つのジャガイモで満たされていました。,0
174,家には猫が千三十八匹いました。; 家には猫が四千八百九十二匹いました。,1
175,部屋は四千九百三つのジャガイモで満たされていました。; 部屋は三千七十七つのジャガイモで満たされていました。,0
176,アイゼンガードにホビット四千九百七十四匹を連れて行く。; アイゼンガードにホビット千八百九十六匹を連れて行く。,0
177,少年は二千三百三十三枚のコインを持っています。; 少年は三千五百六十七枚のコインを持っています。,1
178,家には猫が四百九十八匹いました。; 家には猫が二千四百二十六匹いました。,1
179,二千三百七十つのリングがあります。; 四千九百六つのリングがあります。,1
180,アイゼンガードにホビット二千八百六十七匹を連れて行く。; アイゼンガードにホビット千八百二十四匹を連れて行く。,0
181,家には猫が四千二百五十四匹いました。; 家には猫が七百五十二匹いました。,0
182,少年は二百二十四枚のコインを持っています。; 少年は三千五百九十三枚のコインを持っています。,1
183,部屋は千四百九十五つのジャガイモで満たされていました。; 部屋は二千七百三十三つのジャガイモで満たされていました。,1
184,スメアゴルは四千八匹のハエを傷つけます。; スメアゴルは千二百三十九匹のハエを傷つけます。,0
185,四千五百七十一つのリングがあります。; 二千五百三十四つのリングがあります。,0
186,彼は四千九百八十四個のオレンジを食べることができました。; 彼は千七百八十八個のオレンジを食べることができました。,0
187,彼は千三百九十五個のオレンジを食べることができました。; 彼は二千九百七十九個のオレンジを食べることができました。,1
188,スメアゴルは二千四百六十四匹のハエを傷つけます。; スメアゴルは四千十四匹のハエを傷つけます。,1
189,少年は千六百四十九枚のコインを持っています。; 少年は千三百三十五枚のコインを持っています。,0
190,レゴラスは三千八百二十三人の小人を投げました。; レゴラスは四百十五人の小人を投げました。,0
191,スメアゴルは千九百三十四匹のハエを傷つけます。; スメアゴルは九十九匹のハエを傷つけます。,0
192,三千七百九十二つのリングがあります。; 三千五百三十五つのリングがあります。,0
193,家には猫が二千四百八十八匹いました。; 家には猫が四千二百十一匹いました。,1
194,アイゼンガードにホビット九百六十八匹を連れて行く。; アイゼンガードにホビット三千五百四十四匹を連れて行く。,1
195,部屋は三千六百十四つのジャガイモで満たされていました。; 部屋は六百八十八つのジャガイモで満たされていました。,0
196,部屋は三千八百七十一つのジャガイモで満たされていました。; 部屋は二千百八十つのジャガイモで満たされていました。,0
197,三千六百四十六つのリングがあります。; 三千二百六十三つのリングがあります。,0
198,少年は二千百五十八枚のコインを持っています。; 少年は四千九百五十四枚のコインを持っています。,1
199,部屋は千六十九つのジャガイモで満たされていました。; 部屋は千七百十九つのジャガイモで満たされていました。,1
200,レゴラスは二千五百八十四人の小人を投げました。; レゴラスは四千二百四十九人の小人を投げました。,1
201,彼は三千九百五十二個のオレンジを食べることができました。; 彼は七百二十二個のオレンジを食べることができました。,0
202,図書館には二百五十冊の本があります。; 図書館には千七十七冊の本があります。,1
203,アイゼンガードにホビット二千二百三十九匹を連れて行く。; アイゼンガードにホビット三百二十匹を連れて行く。,0
204,少年は千二百三十二枚のコインを持っています。; 少年は三千九十四枚のコインを持っています。,1
205,少年は二百六十七枚のコインを持っています。; 少年は四千四百五十七枚のコインを持っています。,1
206,部屋は四千七百八十四つのジャガイモで満たされていました。; 部屋は四千六百四十七つのジャガイモで満たされていました。,0
207,スメアゴルは千三百六十五匹のハエを傷つけます。; スメアゴルは三千百匹のハエを傷つけます。,1
208,テーブルには千二百四十六つのリンゴがありました。; テーブルには千二百七十つのリンゴがありました。,1
209,家には猫が二千二百二十二匹いました。; 家には猫が四千七百三十七匹いました。,1
210,少年は三千七百四十三枚のコインを持っています。; 少年は三千四百六十八枚のコインを持っています。,0
211,九百三十七つのリングがあります。; 四百二十九つのリングがあります。,0
212,図書館には四千七百九冊の本があります。; 図書館には二千五百六十八冊の本があります。,0
213,三千百七十四つのリングがあります。; 四百四十六つのリングがあります。,0
214,アイゼンガードにホビット三十二匹を連れて行く。; アイゼンガードにホビット二千四百六十八匹を連れて行く。,1
215,部屋は千九百十三つのジャガイモで満たされていました。; 部屋は九百三十五つのジャガイモで満たされていました。,0
216,レゴラスは三千八百七十七人の小人を投げました。; レゴラスは千三百一人の小人を投げました。,0
217,三千九百四十三ドルかかります。; 三千九百六十七ドルかかります。,1
218,四千三百八十六ドルかかります。; 千八百六十五ドルかかります。,0
219,テーブルには三千六百八十三つのリンゴがありました。; テーブルには二千四百四十二つのリンゴがありました。,0
220,少年は三千三百九十枚のコインを持っています。; 少年は千六百九十八枚のコインを持っています。,0
221,レゴラスは四千七百一人の小人を投げました。; レゴラスは四千九百六十八人の小人を投げました。,1
222,彼は二千九十一個のオレンジを食べることができました。; 彼は三千三十六個のオレンジを食べることができました。,1
223,少年は四千二百六十枚のコインを持っています。; 少年は四千二十九枚のコインを持っています。,0
224,テーブルには二千五百三十八つのリンゴがありました。; テーブルには千五百六十七つのリンゴがありました。,0
225,部屋は四千八百五十一つのジャガイモで満たされていました。; 部屋は三千四百十二つのジャガイモで満たされていました。,0
226,彼は四千七百八十二個のオレンジを食べることができました。; 彼は千七百二十三個のオレンジを食べることができました。,0
227,レゴラスは四千二十七人の小人を投げました。; レゴラスは四千三百三十九人の小人を投げました。,1
228,少年は二千三百九十枚のコインを持っています。; 少年は千百五枚のコインを持っています。,0
229,レゴラスは二千四百四十一人の小人を投げました。; レゴラスは二十三人の小人を投げました。,0
230,テーブルには三千百八十一つのリンゴがありました。; テーブルには四千百二十八つのリンゴがありました。,1
231,家には猫が百六十三匹いました。; 家には猫が四千六十二匹いました。,1
232,少年は二千八十九枚のコインを持っています。; 少年は千三百十四枚のコインを持っています。,0
233,少年は二千七十八枚のコインを持っています。; 少年は三千六百三枚のコインを持っています。,1
234,家には猫が四千五百九十五匹いました。; 家には猫が二千九百九十匹いました。,0
235,彼は千三百七十三個のオレンジを食べることができました。; 彼は八百七十一個のオレンジを食べることができました。,0
236,部屋は四千七百四十五つのジャガイモで満たされていました。; 部屋は三千二百四十八つのジャガイモで満たされていました。,0
237,部屋は二千百五十九つのジャガイモで満たされていました。; 部屋は三千九百六十六つのジャガイモで満たされていました。,1
238,スメアゴルは四千八百五十六匹のハエを傷つけます。; スメアゴルは千九百三十三匹のハエを傷つけます。,0
239,彼は二千八百四十九個のオレンジを食べることができました。; 彼は千七百二十六個のオレンジを食べることができました。,0
240,テーブルには四千八百一つのリンゴがありました。; テーブルには三千六百十三つのリンゴがありました。,0
241,図書館には四千二百五十七冊の本があります。; 図書館には千四百八十冊の本があります。,0
242,レゴラスは四千百五十五人の小人を投げました。; レゴラスは二千二百六十人の小人を投げました。,0
243,アイゼンガードにホビット四百八十三匹を連れて行く。; アイゼンガードにホビット四千三百六十七匹を連れて行く。,1
244,図書館には四千七百八十五冊の本があります。; 図書館には千七百十冊の本があります。,0
245,部屋は四千五百八十九つのジャガイモで満たされていました。; 部屋は四千八百八十五つのジャガイモで満たされていました。,1
246,テーブルには三千七百三つのリンゴがありました。; テーブルには千四十つのリンゴがありました。,0
247,レゴラスは四千五百三十八人の小人を投げました。; レゴラスは千三百四十五人の小人を投げました。,0
248,スメアゴルは三千八百十八匹のハエを傷つけます。; スメアゴルは九百三十七匹のハエを傷つけます。,0
249,三千九百七十一つのリングがあります。; 四千十六つのリングがあります。,1
250,四百九十つのリングがあります。; 千百二十六つのリングがあります。,1
251,部屋は三千六十七つのジャガイモで満たされていました。; 部屋は四千五百八十九つのジャガイモで満たされていました。,1
252,スメアゴルは四百四十四匹のハエを傷つけます。; スメアゴルは四千八百四十一匹のハエを傷つけます。,1
253,スメアゴルは五百三十一匹のハエを傷つけます。; スメアゴルは四百三十五匹のハエを傷つけます。,0
254,部屋は三千八百十八つのジャガイモで満たされていました。; 部屋は二千五百八十一つのジャガイモで満たされていました。,0
255,少年は四千九百五十六枚のコインを持っています。; 少年は四千八百四十枚のコインを持っています。,0
256,千六百五十三ドルかかります。; 二千九百九十八ドルかかります。,1
257,テーブルには千四百十三つのリンゴがありました。; テーブルには四千五百五十つのリンゴがありました。,1
258,少年は三千八百七十五枚のコインを持っています。; 少年は千四百七十七枚のコインを持っています。,0
259,二千四十五つのリングがあります。; 二千七百五十八つのリングがあります。,1
260,アイゼンガードにホビット二千五百七匹を連れて行く。; アイゼンガードにホビット四千七百二十六匹を連れて行く。,1
261,スメアゴルは二千七百三十六匹のハエを傷つけます。; スメアゴルは千四百六十五匹のハエを傷つけます。,0
262,アイゼンガードにホビット九百十匹を連れて行く。; アイゼンガードにホビット二千七百四十四匹を連れて行く。,1
263,二千七百九十八つのリングがあります。; 四千七百十四つのリングがあります。,1
264,図書館には二千三百七十四冊の本があります。; 図書館には二千六百五十四冊の本があります。,1
265,少年は二千三百九十枚のコインを持っています。; 少年は千四百三十九枚のコインを持っています。,0
266,レゴラスは三千五十三人の小人を投げました。; レゴラスは千百三十三人の小人を投げました。,0
267,少年は三千四百十八枚のコインを持っています。; 少年は千五百七枚のコインを持っています。,0
268,アイゼンガードにホビット三百八十三匹を連れて行く。; アイゼンガードにホビット四千四百七十四匹を連れて行く。,1
269,九百八十五ドルかかります。; 千六百七十八ドルかかります。,1
270,アイゼンガードにホビット九百四十五匹を連れて行く。; アイゼンガードにホビット四千五百三十八匹を連れて行く。,1
271,少年は千三百九枚のコインを持っています。; 少年は四千百二十三枚のコインを持っています。,1
272,彼は千八百八十二個のオレンジを食べることができました。; 彼は四千九十九個のオレンジを食べることができました。,1
273,家には猫が二千九百八匹いました。; 家には猫が二千八百七十七匹いました。,0
274,スメアゴルは九百五十六匹のハエを傷つけます。; スメアゴルは九十七匹のハエを傷つけます。,0
275,彼は二千八百十三個のオレンジを食べることができました。; 彼は千五百六十九個のオレンジを食べることができました。,0
276,少年は六百十七枚のコインを持っています。; 少年は千八百四枚のコインを持っています。,1
277,彼は二千二百八十一個のオレンジを食べることができました。; 彼は二千九百二十二個のオレンジを食べることができました。,1
278,アイゼンガードにホビット三千二百八十七匹を連れて行く。; アイゼンガードにホビット三千六百五十八匹を連れて行く。,1
279,スメアゴルは三千七百十五匹のハエを傷つけます。; スメアゴルは千八百三十匹のハエを傷つけます。,0
280,家には猫が千九百五十五匹いました。; 家には猫が六百六十六匹いました。,0
281,三千八百八十七ドルかかります。; 五十三ドルかかります。,0
282,図書館には三千七百三十三冊の本があります。; 図書館には三千七百四十六冊の本があります。,1
283,テーブルには二千四百八つのリンゴがありました。; テーブルには二千百二十七つのリンゴがありました。,0
284,図書館には千百八十八冊の本があります。; 図書館には三千六百七十九冊の本があります。,1
285,家には猫が四千百七十五匹いました。; 家には猫が二千三百三十四匹いました。,0
286,家には猫が四千六百八十六匹いました。; 家には猫が千二百十八匹いました。,0
287,レゴラスは六百八十八人の小人を投げました。; レゴラスは三千三百五十一人の小人を投げました。,1
288,少年は四千七百五十二枚のコインを持っています。; 少年は四千二百五十八枚のコインを持っています。,0
289,四千七百七十一つのリングがあります。; 七百五十二つのリングがあります。,0
290,少年は二千五百四十八枚のコインを持っています。; 少年は二千二百二十六枚のコインを持っています。,0
291,少年は八百十枚のコインを持っています。; 少年は四千九百二十三枚のコインを持っています。,1
292,彼は三千九百七十四個のオレンジを食べることができました。; 彼は八百九十九個のオレンジを食べることができました。,0
293,図書館には千二百九十九冊の本があります。; 図書館には四千九十九冊の本があります。,1
294,スメアゴルは千四百五十四匹のハエを傷つけます。; スメアゴルは四千六百三十三匹のハエを傷つけます。,1
295,少年は四十六枚のコインを持っています。; 少年は三千二百十二枚のコインを持っています。,1
296,テーブルには二千七百七十九つのリンゴがありました。; テーブルには三千八百十一つのリンゴがありました。,1
297,テーブルには四千九百一つのリンゴがありました。; テーブルには四千八十九つのリンゴがありました。,0
